OBJECTID,NOMBRE_DEL,TITULAR,MUNICIPIO,PROVINCIA,UTM_X__Hus,UTM_Y__Hus,MEDIO_RECE,NATURALEZA,CARACT__DE,VOLUMEN__m,NATURALE_1
552,ESTACION RADIOELECTRICA BERMEJA ESTANCIA1 (ASEOS),E.R. MADRID-ARMADA-MINISTERIO DE DEFENSA. E.R. SANTORCAZ,VALDILECHA,MADRID,478358.00000000000,4461653.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2190.00000000000,CATEGORÍA I
553,EDAR VELILLA DE SAN ANTONIO,CANAL DE ISABEL II,VELILLA DE SAN ANTONIO,MADRID,458590.00000000000,4467990.00000000000,RÍO JARAMA,URBANO O ASIMILABLE,>10.000 h-e,10950000.00000000000,CATEGORÍA I
554,EDAR EL ESPARTAL,CANAL DE ISABEL II,VELLON (EL),MADRID,455317.00000000000,4513378.00000000000,ARROYO LA SOLANA,URBANO O ASIMILABLE,<2.000 h-e,33989.00000000000,CATEGORÍA I
555,EDAR EL VELLON,CANAL DE ISABEL II,VELLON (EL),MADRID,451275.00000000000,4511281.00000000000,ARROYO HOCECILLA,URBANO O ASIMILABLE,>10.000 h-e,1095000.00000000000,CATEGORÍA I
556,EDAR VENTURADA,CANAL DE ISABEL II,VENTURADA,MADRID,448307.00000000000,4516707.00000000000,ARROYO DEL SACEDÓN,URBANO O ASIMILABLE,2.000-10.000 h-e,400770.00000000000,CATEGORÍA I
557,FABRICA YESOS GARCIA (ASEOS),"YESOS GARCIA, S.L.",VENTURADA,MADRID,447970.00000000000,4516065.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.00000000000,CATEGORÍA I
558,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,VENTURADA,MADRID,447790.00000000000,4515820.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.00000000000,CATEGORÍA I
559,EDAR VILLA DEL PRADO,CANAL DE ISABEL II,VILLA DEL PRADO,MADRID,389925.00000000000,4457583.00000000000,ARROYO DE LA PLAZA,URBANO O ASIMILABLE,>10.000 h-e,1131792.00000000000,CATEGORÍA I
560,FINCA LAS TEJONERAS,"NUEVA VALVERDE, S.A.",VILLA DEL PRADO,MADRID,385832.00000000000,4461213.00000000000,ARROYO ARROFRESNO,URBANO O ASIMILABLE,<2.000 h-e,7300.00000000000,CATEGORÍA I
561,HOSPITAL VIRGEN DE LA POVEDA,HOSPITAL VIRGEN DE LA POVEDA,VILLA DEL PRADO,MADRID,391747.00000000000,4455055.00000000000,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,73000.00000000000,CATEGORÍA I
562,URB. EL ENCINAR DEL ALBERCHE (EDAR 4),COM. CONDUEÑOS ENCINAR DEL ALBERCHE,VILLA DEL PRADO,MADRID,386057.00000000000,4458169.00000000000,ARROYO DE CHARCO DE CAHORZO,URBANO O ASIMILABLE,<2.000 h-e,24000.00000000000,CATEGORÍA I
563,URB. EL ENCINAR DEL ALBERCHE (EDAR 5),COM. CONDUEÑOS ENCINAR DEL ALBERCHE,VILLA DEL PRADO,MADRID,386473.00000000000,4459078.00000000000,ARROYO VALDEJARAN,URBANO O ASIMILABLE,<2.000 h-e,24000.00000000000,CATEGORÍA I
564,URB. EL ENCINAR DEL ALBERCHE (EDAR 6),COM. CONDUEÑOS ENCINAR DEL ALBERCHE,VILLA DEL PRADO,MADRID,385795.00000000000,4457568.00000000000,ARROYO DE CHARCO DE CAHORZO,URBANO O ASIMILABLE,<2.000 h-e,40000.00000000000,CATEGORÍA I
565,EDAR VILLACONEJOS,CANAL DE ISABEL II,VILLACONEJOS,MADRID,456785.00000000000,4437845.00000000000,CAÑADA DEL PASTOR,URBANO O ASIMILABLE,2.000-10.000 h-e,543120.00000000000,CATEGORÍA I
566,"URB. SECTOR R-8 LOS HUEROS, PEÑAS ALBAS Y ZULEMA (PARCIALES)",AYUNTAMIENTO DE VILLALBILLA,VILLALBILLA,MADRID,469814.00000000000,4476105.00000000000,ARROYO ANCHUELO,URBANO O ASIMILABLE,2.000-10.000 h-e,438000.00000000000,CATEGORÍA I
567,BODEGA DE VINOS VALQUEJIGOSO,"VALQUEJIGOSO, S.L.",VILLAMANTA,MADRID,401622.00000000000,4459433.00000000000,ARROYO DE VALQUEJIGOSO,INDUSTRIAL,CLASE 2 Resto,756.00000000000,CATEGORÍA I
568,EDAR VILLAMANTA,CANAL DE ISABEL II,VILLAMANTA,MADRID,402269.00000000000,4462114.00000000000,ARROYO GRANDE,URBANO O ASIMILABLE,2.000-10.000 h-e,299300.00000000000,CATEGORÍA I
569,EXPLOTACIÓN AGRÍCOLA DOMUS (ASEOS),"DOMUS AGRÍCOLA, S.L.",VILLAMANTA,MADRID,407025.00000000000,4463005.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,882.42000000000,CATEGORÍA I
570,PERSONA FÍSICA (NAVE-ALMACEN),PERSONA FÍSICA,VILLAMANTA,MADRID,403720.00000000000,4461822.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,610.00000000000,CATEGORÍA I
571,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,VILLAMANTA,MADRID,404470.00000000000,4460798.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,219.00000000000,CATEGORÍA I
572,EDAR VILLAMANTILLA,CANAL DE ISABEL II,VILLAMANTILLA,MADRID,403026.00000000000,4466043.00000000000,ARROYO SAN ANTONIO,URBANO O ASIMILABLE,<2.000 h-e,153840.00000000000,CATEGORÍA I
573,EDAR CUENCA MEDIA GUADARRAMA,CANAL DE ISABEL II,VILLANUEVA DE LA CAÑADA,MADRID,419626.00000000000,4473538.00000000000,RÍO GUADARRAMA,URBANO O ASIMILABLE,>10.000 h-e,6387500.00000000000,CATEGORÍA I
574,EDAR VILLANUEVA DE LA CAÑADA,CANAL DE ISABEL II,VILLANUEVA DE LA CAÑADA,MADRID,416413.00000000000,4479246.00000000000,RÍO AULENCIA,URBANO O ASIMILABLE,>10.000 h-e,1995455.00000000000,CATEGORÍA I
575,FINCA LA MOCHA (ASEOS),PERSONA FÍSICA,VILLANUEVA DE LA CAÑADA,MADRID,417968.00000000000,4476325.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2190.00000000000,CATEGORÍA I
576,FRONDA (CENTRO DE JARDINERIA Y VIVERO),"FRONDA, S.A.",VILLANUEVA DE LA CAÑADA,MADRID,414091.00000000000,4479743.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,467.00000000000,CATEGORÍA I
577,PLANTA DE COMPOSTAJE RESIDUOS VEGETALES GEDESMA,"GESTIÓN Y DESARROLLO DEL MEDIO AMBIENTE DE MADRID, S.A.",VILLANUEVA DE LA CAÑADA,MADRID,413414.00000000000,4476534.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,212.00000000000,CATEGORÍA I
578,PLANTA HORMIGON VILLANUEVA III (ASEOS),"VILLANUEVA III, S.A.",VILLANUEVA DE LA CAÑADA,MADRID,415751.00000000000,4480149.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1369.00000000000,CATEGORÍA I
579,VIVERO IBERGREEN (ASEOS),"IBERGREEN, S.L.",VILLANUEVA DE LA CAÑADA,MADRID,414676.00000000000,4480383.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,37.00000000000,CATEGORÍA I
